Title,Location,Link,Distance,Review_Score,Ketegori,Number_Of_Reviews,Details
"The Taj Mahal Tower Mumbai
"JW Marriott Mumbai Juhu
Opens in new window","Juhu, Mumbai",https://www.booking.com/hotel/in/j-w-marriott-mumbai-india.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=25017009_287950021_2_2_0&highlighted_blocks=25017009_287950021_2_2_0&matching_block_id=25017009_287950021_2_2_0&sr_pri_blocks=25017009_287950021_2_2_0__9000000&from_beach_sr=1&beach_sr_walking_distance=148&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,14.8,8.5,Very good ,1332.0,"Guest room, 1 King  "
"President - IHCL SeleQtions
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/taj-president.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=7473606_218722826_2_2_0&highlighted_blocks=7473606_218722826_2_2_0&matching_block_id=7473606_218722826_2_2_0&sr_pri_blocks=7473606_218722826_2_2_0__6725000&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,6.1,8.3,Very good ,1111.0,Superior Room City View Queen Bed - 20% off on Fleet Assured Services
"ITC Grand Central, a Luxury Collection Hotel, Mumbai
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/itc-grand-central-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=47327611_246431510_0_41_0&highlighted_blocks=47327611_246431510_0_41_0&matching_block_id=47327611_246431510_0_41_0&sr_pri_blocks=47327611_246431510_0_41_0__7100000&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.9,8.6,Fabulous ,1470.0,Executive Club
"InterContinental Marine Drive Mumbai, an IHG Hotel
Opens in new window","Churchgate, Mumbai",https://www.booking.com/hotel/in/intercontinental-marine-drive-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=23778635_328517060_2_2_0&highlighted_blocks=23778635_328517060_2_2_0&matching_block_id=23778635_328517060_2_2_0&sr_pri_blocks=23778635_328517060_2_2_0__8143700&from_beach_sr=1&beach_sr_walking_distance=2197&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.8,8.6,Fabulous ,322.0,1 King Bed Classic Bay View Smoking
"FabExpress Orange Suites Santacruz East
Opens in new window","Santacruz, Mumbai",https://www.booking.com/hotel/in/fabhotel-orange-suites-santacruz-east.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=451371601_331254865_2_0_0&highlighted_blocks=451371601_331254865_2_0_0&matching_block_id=451371601_331254865_2_0_0&sr_pri_blocks=451371601_331254865_2_0_0__1701000&from_beach_sr=1&beach_sr_walking_distance=2455&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,12.8,7.2,Good ,502.0,Deluxe Room
"Sofitel Mumbai BKC
Opens in new window","Bandra, Mumbai",https://www.booking.com/hotel/in/sofitel-mumbai-bkc.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=29408604_94398656_2_2_0&highlighted_blocks=29408604_94398656_2_2_0&matching_block_id=29408604_94398656_2_2_0&sr_pri_blocks=29408604_94398656_2_2_0__9050000&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,12.2,8.2,Very good ,2570.0,Luxury Twin Room
"Hotel Marine Plaza
Opens in new window","Churchgate, Mumbai",https://www.booking.com/hotel/in/marine-plaza.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=24183802_343456455_2_2_0&highlighted_blocks=24183802_343456455_2_2_0&matching_block_id=24183802_343456455_2_2_0&sr_pri_blocks=24183802_343456455_2_2_0__6299370&from_beach_sr=1&beach_sr_walking_distance=2480&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.2,7.8,Good ,248.0,Executive Suite
"Zostel Mumbai
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/zostel-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=282284811_344154662_0_42_0&highlighted_blocks=282284811_344154662_0_42_0&matching_block_id=282284811_344154662_0_42_0&sr_pri_blocks=282284811_344154662_0_42_0__1549300&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,18.1,8.1,Very good ,757.0,Deluxe Double Room
"Hotel Mogul Palace
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/mogul-palace.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=207646206_278603527_2_2_0&highlighted_blocks=207646206_278603527_2_2_0&matching_block_id=207646206_278603527_2_2_0&sr_pri_blocks=207646206_278603527_2_2_0__1258740&from_beach_sr=1&beach_sr_walking_distance=2238&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2.4,6.7,Good ,95.0,Economy Double Room
"Hotel Delight
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/oyo-70796-delight.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909891&all_sr_blocks=651690103_341880501_2_0_0&highlighted_blocks=651690103_341880501_2_0_0&matching_block_id=651690103_341880501_2_0_0&sr_pri_blocks=651690103_341880501_2_0_0__699185&from_beach_sr=1&beach_sr_walking_distance=1845&from=searchresults#hotelTmpl,1.9,2.5,Good ,8.0,Deluxe Triple Room
