Title,Location,Link,Distance,Review_Score,Ketegori,Number_Of_Reviews,Details
"The Taj Mahal Tower Mumbai
"Hotel Midland
Opens in new window","Santacruz, Mumbai",https://www.booking.com/hotel/in/midland-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=101&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=27339003_262859635_0_42_0&highlighted_blocks=27339003_262859635_0_42_0&matching_block_id=27339003_262859635_0_42_0&sr_pri_blocks=27339003_262859635_0_42_0__2210000&from_beach_sr=1&beach_sr_walking_distance=1905&from=searchresults#hotelTmpl,12.7,6.8,Review score ,31.0,Deluxe Room
"FabHotel Ascot International II
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/fabhotel-ascot-international-2.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=102&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=422951201_331254899_2_0_0&highlighted_blocks=422951201_331254899_2_0_0&matching_block_id=422951201_331254899_2_0_0&sr_pri_blocks=422951201_331254899_2_0_0__1385748&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,16.3,6.8,Review score ,166.0,Deluxe Room
"JW Marriott Mumbai Sahar Airport
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/jw-marriott-mumbai-sahar.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=103&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=130073602_94587128_2_41_0&highlighted_blocks=130073602_94587128_2_41_0&matching_block_id=130073602_94587128_2_41_0&sr_pri_blocks=130073602_94587128_2_41_0__8916500&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,16.1,8.6,Fabulous ,1562.0,"Guest room, 1 King, City view"
"Residency Sarovar Portico
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/residency-sarovar-portico.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=104&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=53923701_347404104_0_2_0&highlighted_blocks=53923701_347404104_0_2_0&matching_block_id=53923701_347404104_0_2_0&sr_pri_blocks=53923701_347404104_0_2_0__4329000&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,23.1,7.3,Good ,447.0,Superior Double or Twin Room
"YMCA International House
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/ymca-international-house-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=105&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=282462402_173901966_2_25_0&highlighted_blocks=282462402_173901966_2_25_0&matching_block_id=282462402_173901966_2_25_0&sr_pri_blocks=282462402_173901966_2_25_0__3024700&from_beach_sr=1&beach_sr_walking_distance=2174&from=searchresults#hotelTmpl,0.6,8.1,Very good ,255.0,Double Room AC with Private Bathroom
"FabExpress Liwa International Andheri East
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/liwa-international.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=106&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=286711101_331255030_2_1_0&highlighted_blocks=286711101_331255030_2_1_0&matching_block_id=286711101_331255030_2_1_0&sr_pri_blocks=286711101_331255030_2_1_0__1967868&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,18.0,7.6,Good ,401.0,Deluxe Room
"Hotel Harbour View Colaba
Opens in new window","Colaba, Mumbai",https://www.booking.com/hotel/in/harbour-view.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=176404104_225736656_2_2_0&highlighted_blocks=176404104_225736656_2_2_0&matching_block_id=176404104_225736656_2_2_0&sr_pri_blocks=176404104_225736656_2_2_0__4760000&from_beach_sr=1&from=searchresults#hotelTmpl,5.7,8.2,Very good ,323.0,Deluxe Tranquil Sleep Room
"FabExpress Terminus Square
Opens in new window","Central Suburbs, Mumbai",https://www.booking.com/hotel/in/terminus-square.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=108&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=214290206_353036724_0_0_0&highlighted_blocks=214290206_353036724_0_0_0&matching_block_id=214290206_353036724_0_0_0&sr_pri_blocks=214290206_353036724_0_0_0__1212624&from_beach_sr=1&from=searchresults#hotelTmpl,13.3,5.0,Review score ,8.0,Deluxe Room
"Hotel Al Madina palace
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/al-madina.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=109&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=122397912_223075939_2_42_0&highlighted_blocks=122397912_223075939_2_42_0&matching_block_id=122397912_223075939_2_42_0&sr_pri_blocks=122397912_223075939_2_42_0__907200&from_beach_sr=1&beach_sr_walking_distance=1637&from=searchresults#hotelTmpl,1.9,6.0,Review score ,57.0,Economy Triple Room with Shared Bathroom
"Capital O 12043 Hotel Konak
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/crystal-crown.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=110&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=307022003_341614000_2_0_0&highlighted_blocks=307022003_341614000_2_0_0&matching_block_id=307022003_341614000_2_0_0&sr_pri_blocks=307022003_341614000_2_0_0__891783&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,17.7,6.6,Review score ,8.0,Standard Double Room
"Hotel Arma Town House
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/arma-town-house.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=111&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=669449701_342441025_2_40_0&highlighted_blocks=669449701_342441025_2_40_0&matching_block_id=669449701_342441025_2_40_0&sr_pri_blocks=669449701_342441025_2_40_0__2128000&from_beach_sr=1&from=searchresults#hotelTmpl,20.5,6.0,Review score ,59.0,Deluxe Room
"Four Seasons Hotel Mumbai
Opens in new window","Worli, Mumbai",https://www.booking.com/hotel/in/four-seasons-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=112&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=29344005_151472689_2_42_0&highlighted_blocks=29344005_151472689_2_42_0&matching_block_id=29344005_151472689_2_42_0&sr_pri_blocks=29344005_151472689_2_42_0__12700000&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2.8,8.6,Fabulous ,2116.0,Premier City View Room
"Ramada Plaza By Wyndham Palm Grove
Opens in new window","Juhu, Mumbai",https://www.booking.com/hotel/in/ramada-plaza-palm-grove.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=113&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=24680611_339639110_2_2_0&highlighted_blocks=24680611_339639110_2_2_0&matching_block_id=24680611_339639110_2_2_0&sr_pri_blocks=24680611_339639110_2_2_0__8171300&from_beach_sr=1&beach_sr_walking_distance=134&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,14.5,7.2,Good ,504.0,Deluxe Double Room
"GCC Hotel and Club
Opens in new window",Mumbai,https://www.booking.com/hotel/in/gcc-hotels-pvt-ltd.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=114&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=42818601_351447784_0_1_0&highlighted_blocks=42818601_351447784_0_1_0&matching_block_id=42818601_351447784_0_1_0&sr_pri_blocks=42818601_351447784_0_1_0__3500000&from_beach_sr=1&from=searchresults#hotelTmpl,35.5,7.5,Good ,91.0,Deluxe Double Room
"Hotel Causeway, Colaba
Opens in new window","Colaba, Mumbai",https://www.booking.com/hotel/in/causeway-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=115&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=108758401_198493559_0_0_0&highlighted_blocks=108758401_198493559_0_0_0&matching_block_id=108758401_198493559_0_0_0&sr_pri_blocks=108758401_198493559_0_0_0__2380000&from_beach_sr=1&from=searchresults#hotelTmpl,5.3,7.3,Good ,198.0,Deluxe Double or Twin Room
"Hotel Sun City - Near Saifee Hospital
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/sun-city-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=116&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=220834401_327244066_2_41_0&highlighted_blocks=220834401_327244066_2_41_0&matching_block_id=220834401_327244066_2_41_0&sr_pri_blocks=220834401_327244066_2_41_0__1567440&from_beach_sr=1&beach_sr_walking_distance=520&from=searchresults#hotelTmpl,1.4,6.7,Review score ,195.0,Deluxe Double Room - 10% discount on food and soft beverage
"Hotel Arma Residency
Opens in new window","Powai, Mumbai",https://www.booking.com/hotel/in/arma-residency.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=117&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=28268110_194464538_2_41_0&highlighted_blocks=28268110_194464538_2_41_0&matching_block_id=28268110_194464538_2_41_0&sr_pri_blocks=28268110_194464538_2_41_0__1120000&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,17.0,6.1,Review score ,175.0,Standard Double Room
"Chateau Windsor Hotel - Marine Drive
Opens in new window","Churchgate, Mumbai",https://www.booking.com/hotel/in/chateau-windsor.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=118&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=24489401_273005843_0_34_0&highlighted_blocks=24489401_273005843_0_34_0&matching_block_id=24489401_273005843_0_34_0&sr_pri_blocks=24489401_273005843_0_34_0__3864000&from_beach_sr=1&beach_sr_walking_distance=2389&from=searchresults#hotelTmpl,4.0,7.6,Good ,250.0,Superior Double Room
"Grand Residency Hotel & Serviced Apartments
Opens in new window","Bandra, Mumbai",https://www.booking.com/hotel/in/grand-residency-serviced-apartments.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=119&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=27499701_336343283_2_1_0&highlighted_blocks=27499701_336343283_2_1_0&matching_block_id=27499701_336343283_2_1_0&sr_pri_blocks=27499701_336343283_2_1_0__6524475&from_beach_sr=1&beach_sr_walking_distance=1828&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,10.4,7.7,Good ,212.0,Deluxe Twin Room
"The Fountain Inn - Fort
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/fountain-inn.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=120&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=437276003_351736416_0_0_0&highlighted_blocks=437276003_351736416_0_0_0&matching_block_id=437276003_351736416_0_0_0&sr_pri_blocks=437276003_351736416_0_0_0__1587600&from_beach_sr=1&beach_sr_walking_distance=2881&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.2,7.3,Good ,420.0,Standard Double Room
"Hygienic Hotel Liberty Plaza
Opens in new window","Central Suburbs, Mumbai",https://www.booking.com/hotel/in/liberty-plaza.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=121&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=200036003_173828571_0_2_0&highlighted_blocks=200036003_173828571_0_2_0&matching_block_id=200036003_173828571_0_2_0&sr_pri_blocks=200036003_173828571_0_2_0__1259300&from_beach_sr=1&from=searchresults#hotelTmpl,15.1,7.3,Good ,377.0,Budget Double Room
"Lalco Residency
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/lalco-service-apartment-llp.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=122&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=39023616_356683938_2_42_0&highlighted_blocks=39023616_356683938_2_42_0&matching_block_id=39023616_356683938_2_42_0&sr_pri_blocks=39023616_356683938_2_42_0__4543800&from_beach_sr=1&from=searchresults#hotelTmpl,19.5,8.0,Very good ,125.0,One-Bedroom Apartment
"Hotel Broadway Colaba
Opens in new window","Colaba, Mumbai",https://www.booking.com/hotel/in/broadway-colaba-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=123&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=825064102_346807991_2_0_0&highlighted_blocks=825064102_346807991_2_0_0&matching_block_id=825064102_346807991_2_0_0&sr_pri_blocks=825064102_346807991_2_0_0__1530900&from_beach_sr=1&from=searchresults#hotelTmpl,5.3,7.6,Good ,13.0,Standard Double or Twin Room
"Bloom Hotel - Juhu
Opens in new window","Juhu, Mumbai",https://www.booking.com/hotel/in/royal-garden.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=124&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=26642604_341266603_2_1_0&highlighted_blocks=26642604_341266603_2_1_0&matching_block_id=26642604_341266603_2_1_0&sr_pri_blocks=26642604_341266603_2_1_0__4135250&from_beach_sr=1&beach_sr_walking_distance=76&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,13.4,7.5,Good ,286.0,Standard Double Room
"Hostel Vasantashram CST Mumbai
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/new-vasantashram.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=125&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909964&all_sr_blocks=69681404_201787244_2_0_0&highlighted_blocks=69681404_201787244_2_0_0&matching_block_id=69681404_201787244_2_0_0&sr_pri_blocks=69681404_201787244_2_0_0__882000&from_beach_sr=1&beach_sr_walking_distance=1998&from=searchresults#hotelTmpl,2.9,7.5,Good ,87.0,Twin Room with Shared Bathroom
"OYO 85367 Hotel New AK palace
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/oyo-85367-happy-asalfa.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=126&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909981&all_sr_blocks=808079402_343180429_2_0_0&highlighted_blocks=808079402_343180429_2_0_0&matching_block_id=808079402_343180429_2_0_0&sr_pri_blocks=808079402_343180429_2_0_0__815538&from_beach_sr=1&from=searchresults#hotelTmpl,16.3,6.0,Review score ,1.0,Deluxe Double Room
"Blossom Dormitory For Male and Female
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/blossom-dormitory-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=127&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660909981&all_sr_blocks=352543502_118338112_2_2_0&highlighted_blocks=352543502_118338112_2_2_0&matching_block_id=352543502_118338112_2_2_0&sr_pri_blocks=352543502_118338112_2_2_0__838950&from_beach_sr=1&from=searchresults#hotelTmpl,15.7,7.3,Good ,273.0,Male Dormitory Room
